Bulbasaur	[3,4,5,6/12,13,14,15/A-16-5,6]
Machoke		[8,7,6,5,4/12,11,10,9/0,14,13,0-LN/0,3-D]
Machamp		[7,6,5,4/12,11,10,9,8-LN/0,13,14,0-LN/0,3-D]
Bellsprout	[15,14,5,4,3/13,12,11,10/9,8,7,6]
Weepinbell	[0,8,7,6,5,4-LN/0,16,15,14,13-DN/12,11,10,9]
Victreebel	[9,8,7,6,5-LN/0,16,15,14,13-L/0,12,11,10]
Tentacool	[0,8,7,6,5/12,11,10,9/0,16,15,14,13]
Tentacruel	[0,12,13,14,15/3,4,5,6/0,11,7,8,10-DN]
Geodude		[7,6,5,4,3]
Graveler	[7,6,5,4,3]
Golem		[0,7,8,9,10/11,12,13,14/0,5,6,0--LN]
Ponyta		[0,4,5,6,7,8/0,12,11,10,9-LN]
Rapidash	[0,4,5,6,7,8/0,12,11,10,9-LN]
Slowpoke	[10,11,12,13,14/0,6,7,8,0,9]
Slowbro		[12,13,14,15/0,3,4,5,0,6/0,8,9,10/A-11-15,13]
Magnemite	[0,3,4,5,12,13,14,15,6,7/0,11/0,9]
Magneton	[0,12,13,14,15,4,5,6,7-DN/0,8,9/0,10,11]
Farfetch	[0,4,5,12,13,14,15-E/0,9,10,11/0,6,7,8]
Doduo		[0,6,7,8,9/0,10,11,12,13]
Dodrio		[0,3,4,5/0,6,7,8/0,9,10,11]
Seel		[0,2,3,4,5/0,6,7,8,9/0,10,11,12]
Dewgong		[0,2,3,4,5,6-L/0,7,8]
Grimer		[8,9,10,11,12/0,4,5,6]
Muk			[8,9,10,11,12/0,4,5,6/A-13-10,11]
Shellder	[2,3,4,5,6/0,7,8,9]
Cloyster	[2,3,4,5,6/7,8,9,10]
Gastly		[8,9,10-D/0,7,11,12,13-L/4,5]
Haunter		[2,3,4,5,6/10,11,12]
Gengar		[12,13,11,14,15/6,7]
Onix		[0,11,12,13,14,15,10-LN]
Drowzee		[0,12,11,10,9,8,7/0,6,5,4,3-D/0,15,14,0-LN]
Hypno		[7,6,5,4,10,9-LN/15,14,13,12-L]
Krabby		[12,13,14,15/5,6,7,8,9]
Kingler		[0,2,3,4,5/0,6,7,8,9,11,12]
Voltorb		[0,10,11,12,13,14,15]
Electrode	[0,8,9,12,13,14,15]
Exeggcute	[0,12,13,14,15,16/0,4,5]
Exeggutor	[0,2,3,4,5,6/0,7,8,9-D/0,11,12,13]
Cubone		[0,12,13,2,3,4,5-LN/0,7,8,9,10-L]
Marowak		[0,10,11,12,13,14,15,16/0,3,4,5,6-L/0,8-B]
Hitmonlee	[0,10,11,12,13,14,15-LN/0,2,3,4,5,6,9-LN]
Hitmonchan	[0,12,13,14,15/0,4,5,6-D/0,8,9,10,11]
Lickitung	[0,11,12,13,14,15-DN/0,4,5,0/7,8,9,10]
Koffing		[0,12,13,14,15-D/9,10,11/4,5-L/0,6,7,0]
Weezing		[11,12,13,14,15-D/8,9,10/5,4-L/6,7]
Rhyhorn		[0,2,3,4,5,6-LN/7]
Rhydon		[0,12,13,14,15-LN/0,4,5,6/0,7,8,9-D]
Chansey		[0,12,13,14,15,16/0,9,10,11]
Tangela		[2,3,4,5/0,6,7,9,8]
Kangaskhan	[0,4,5,13,14,15,16/0,8,9-DN/6]
Horsea		[0,5,6,7,8/0,9,10,11/12]
Seadra		[0,3,4,5,6,7/0,8,9,10]
Goldeen		[0,6,7,8,10-LN/3,2,4,5-L/0,12,11-DN/A-9-6,3]
Seaking		[0,10,11,12,13/0,3,4,5,6-L/0,14,15,16-B/A-9-2,11]
Staryu		[0,3,4,5,6,7/0,8,9,10,11,12/0,14,15,16]
Starmie		[0,3,4,5,6,7/0,8,9,10,11,12/0,13,14,15,16]
Mr. mime	[0,10,11,12,13/0,6,7,8,9-LN/3,4-D]
Scyther		[0,12,13,13,14,15/0,4,9,8,7,6,11]
Jynx		[0,3,4,5,6/0,10,11,12-LN/13,14,15,16]
Electabuzz	[3,4,5,6,7/0,12,13,0]
Magmar		[0,5,6,7-D/0,9,10,11,12/3,4]
Pinsir		[0,3,4,5,6,7/0,9,10,11,12]
Tauros		[0,3,4,5,6,7,16/0,13,14,15]
Magikarp	[3,4,5,6,7,8/9,10,11,12]
Gyarados	[0,7,6,5,4,3/0,16,15,14/0,13,12,11]
Lapras		[3,4,6,7/0,8,9,11/0,14,15,12/A-5-6,9]
Ditto		[3,4,5,6,7,8]
Eevee		[4,5,6,7-D/8,9,10]
Vaporeon	[3,4,5,7,8/12,13,14/0,15,16,0/0,6,0-D]
Jolteon		[3,4,5,6,7,8/0,10,12-L/0,16,0-D]
Flareon		[0,4,5,6,7/0,8,9,10,11/0,13,0-D]
Porygon		[0,3,4,5,6,7/0,8,9,10,11,12]
Omanyte		[0,3,4,5,6,7/0,8,9,10,11,12]
Omastar		[0,3,4,5,6/0,7,8,9,10,11,12]
Kabuto		[3,4,5,6,7/0,9,10,0/0,15,16,0]
Kabutops	[0,3,4,5,6,7/9,10,11-L]
Aerodactyl	[0,3,4,5,6/0,7,8,9,10/0,11,12,13/0,14,0-D]
Snorlax		[0,8,7,9,14,15,16/0,3,4,5,6]
Articuno	[0,13,4,5,3,6,7,8/14,15,16-D/0,12,0-LN]
Zapdos		[0,4,5,6,8,9/0,11,12,7-D/0,15,0]
Moltres		[3,4,5,6/11,12,13-D/10,9,8,7]
Dratini		[0,3,4,5,6,7/9,10,11-L]
Dragonair	[4,5,6,7/9,10-L/0,12,13,14-L/15,16-L/]
Dragonite	[3,4,5,7/0,11,12,13,6/0,8,9,10/]
Mewtwo		[0,3,4,5,6,7/0,10,11,12,13-D]
Mew			[0,3,4,5,6,7/0,10,11,12-LN/14]
Chikorita	[0,3,4,5,6,7/0,11,12,13,14/0,15,16,0-D]
Bayleef		[0,3,4,5,6,7/0,8,9,10,11/0,15,16,0-LN]
Meganium	[0,3,4,5,6/0,8,9,10-L/0,15,16,7-LN]
Cyndaquil	[0,7,8,9,10/0,3,4,5,6-D/11,12,13,14]
Quilava		[0,7,8,9,10/4,5,6-D/11,12,13,14]
Typhlosion	[0,7,8,9,10/0,3,4,5,6,15-D/11,12,13,14]
Totodile	[0,3,4,5,6/14,15/0,9,10,11,12,13]
Croconaw	[0,3,4,5,6/0,13,14,15/9,10,7,11,12]
Feraligatr	[0,4,5,6,7/0,12,13,14/8,9,10,11]
Sentret		[0,3,4,5,6-L/0,7,8,9,10-D/0,11,12,0]
Furret		[0,3,4,5,6-L/7,8,9-D/0,13,12,0]
Hoothoot	[0,3,4,5,6,7,8,9/10,12,13-D/11]
Noctowl		[0,5,6,7,8,9,10,11-D/3,4-L/0,12,0-D]
Ledyba		[0,3,4,5,6/0,7,8,9,10/11,12]
Ledian		[3,4,5,6-LN/8,9,10-LN/0,11,12]
Spinarak	[0,3,4,5,6,7/0,8,9,10/11,12,13]
Ariados		[0,3,4,5,6/0,8,9,10/0,11,12,13]
Crobat		[0,3,4,5,6/0,10,11/0,12,13-DN/8]
Chinchou	[0,7,6,5,4,3,2/0,14,13,12,11,9-L/8-L]
Lanturn		[0,6,5,4,3,2/0,13,12,11,10-L/0,8,7-LN]
Pichu		[0,4,5,6,7,8,9-DN/0,11,0/0,12,13-D]
Cleffa		[0,3,4,5,6,7/8,9,10,11-D]
Igglybuff	[3,4,6,7,8/0,10,11,12,13]
Togepi		[0,7,8,9,10,11/0,3,4,5-L/0,14,15,0/0,12,13,0/0,16,0-D]
Togetic		[0,6,5,4,3-L/0,11,12,0/0,8,9,0]
Natu		[0,3,4,5,6/0,7,8,9/0,10,11,12]
Xatu		[3,4,5,6/7,8,9-D/0,10,11,12]
Mareep		[0,3,4,5,6/0,7,8,9,10/0,11,12,13,0]
Flaaffy		[2,3,4-L/5,6-D/7,8,9,10,11/0,12,13,0]
Ampharos	[0,3,4,5,6/10,11-D/0,13,14,15,16]
Bellossom	[0,3,4,5-LN/0,9,10,11/0,6,7,8/0,12,13,14-LN]
Marill		[16,7,9,10/0,13,14,15,0/A-8-7,9]
Azumarill	[11,7,9,10/0,13,14,15,0/A-8-7,9]
Sudowoodo	[0,3,5,6/0,8,9,10,11/0,12,13,0/7/A-4-3,5]
Politoed	[0,7,8,9,10/0,4,5,6-L/0,3,15/0,11,12,13]
Hoppip		[0,6,5,4,3/0,12,11,10,9/0,8,7,0]
Skiploom	[0,6,5,4,3/0,11,10,9,8,7,15/0,14,13,0]
Jumpluff	[6,5,4,3/16,15/12,11,10,9,8,7-L/0,14,13,0-LN]
Aipom		[0,3,4,5,6/0,8,9,10,11-L]
Sunkern		[0,8,7,5,4,3/0,13,12,11,10]
Sunflora	[0,10,9,8,7,6,5,4-DN/0,15,14,13/11]
Yanma		[0,10,9,8,7/0,6,5,4,3,2]
Wooper		[0,7,6,5,4/0,9,10,11,12-D/14,13]
Quagsire	[0,11,10,9,7,8,3,13,12-DN/6,5,4,2-D]
Espeon		[0,4,5,6,7/0,8,9,0/0,11,12,0/0,14,0-D]
Umbreon		[0,3,4,5,2-D/0,8,9,0/0,13,14,0]
Murkrow		[0,7,6,5,4-LN/0,13,12,11,10/0,2,3,4-LN]
Slowking	[0,8,6,7,5-D/0,3,4/0,11,10,9]
Misdreavus	[0,6,5,4,3/0,12,11,10/0,15,14,13/0,8,9,0]
Unown		[0,5,8,9,10]
Wobbuffet	[11,10,9,8,7/0,6,5,3/15,14,13-D]
Girafarig	[0,7,6,5,4/0,11,10,9,8-D/0,3,2]
Pineco		[11,10,9,8,7/13-LN]
Forretress	[14,13,12,11/8,7,6,5-L]
Dunsparce	[11,10,9-L/16,15,14,13,12/0,7,6,5,4]
Gligar		[12,11,10/0,8,7,6,5,4]
Steelix		[14,13-L/0,9,8,7,6,5]
Snubbull	[0,7,6,5,4/11,10-D/0,14,13,3,2]
Granbull	[14,13,12-D/7,6,5,4,3]
Qwilfish	[12,11,10,9-DN/8,7,6,5,4-LN]
Scizor		[0,3,4,5,6,7/8,10-L/13,14,15-DN]
Shuckle		[14,13,12,11-LN/10,9,8-L/7,6,5,4]
Heracross	[0,3,4,5,6,7/8,10-L/2,14-L]
Sneasel		[0,4,5,6,7-LN/8,9,10,11/12,13,0-DN]
Teddiursa	[4,5,6,7-LN/8,9,3-L]
Ursaring	[0,4,5,6,7-D/8,9,10-L]
Slugma		[0,3,4,5,6/7,8,9-L]
Magcargo	[0,3,4,5,6-DN/8,9,10-L/12,13,14,15,11-D]
Swinub		[0,4,5,6,7,8-LN/9,10,11-L]
Piloswine	[0,3,4,5,6,7,8-LN/0,9,10,11]
Corsola		[0,7,6,5,4,3,2-LN/11,10,9-L]
Remoraid	[2,0-L/0,3,4,5,6,7,8-LN;0,9,6-6]
Octillery	[0,4,5,6,7-LN/8,9,10-L]
Delibird	[0,3,4,5,6/7,8,9,10,11-DN/0,12,13,14,15-L]
Mantine		[0,3,4,5-LN/10,11,12,13,14,15/7,8,9-L]
Skarmory	[0,3,4,5,6,7,8/9,10,11,12/13,14-L]
Houndour	[0,3,4,5,6-D/0,7,8,9,10-L/14,15-L]
Houndoom	[0,5,6/0,8,9,10,11/14,2,0-L]
Kingdra		[3,4,5,6,7/11,12,13/0,9]
Phanpy		[0,3,4,5,6,7/10,11,12]
Donphan		[0,11,5,12,13/0,14,15/7,8,9,10,0-D]
Porygon2	[0,3,4,5,6/0,9,10,11,12]
Stantler	[0,3,4,5,0,6-B/0,13,10,11,12-L/8,9-L]
Smeargle	[3,4-DN/0,5,6,7-D/10,11,12,13-DN]
Tyrogue		[0,3,4,5,6,7/0,8,9,10,11]
Hitmontop	[3,4,5,6-DN/0,7,8,9,10]
Smoochum	[0,10,3,4,5-DN/6,7,8,9/0,11,12,13]
Elekid		[4,5,6,7/A-3-4,5]
Magby		[0,4,5,6-LN/8,9,10,11-DN]
Miltank		[2,3,4,5,6/0,13,14,0-D/0,7,8,9,10]
Blissey		[7,8,9,10,11/3,4,0-L]
Raikou		[3,4,5,6/0,8,9,10/0,12,0-L/11]
Entei		[0,10,11,12,3,4,5,6-DN/7,8]
Suicune		[0,3,4,5,6-LN/0,7,8,9,10/12,13,14,15-L]
Larvitar	[0,3,4,5,6/0,8,9,10,11-LN]
Pupitar		[0,3,4,5,6-DN/0,8/0,16-D]
Tyranitar	[0,3,4,5,6-DN/0,9,10,11]
Lugia		[3,4,5,6-L/0,9,8,10,11-LN/14,15,16-D]
Ho-oh		[0,3,4,5,6-DN/0,11,12,13/7,8,9,10-L-E]
Celebi		[0,3,4,5,6,7,8/10,11,12,13-L]
Treecko 	[0,3,4,5,6/7,8,9/0,14,16,15/0,11,12,13-L]
Grovyle 	[0,3,4,5,6,10-LN/0,11,12,13/14,15-L/7,8,9]
Sceptile 	[0,9,10,11,12/0,16,3,4,5,6/0,7,8/13,14-L]
Torchic		[0,3,4,5,6,7/0,8,9,10/0,13,14,15,12]
Combusken	[0,3,4,9/5,6,7,8/11,12,13-D]
Blaziken	[0,3,4,5,6/8,9,10-L/11,12,13,16,14]
Mudkip		[0.4,5,6,8,7/0.9,10,11-L/0,12,14,13/3]
Marshtomp	[0,3,4,5,6,7/0,8,9,10/0,11,12,13/15,14-D]
Swampert	[0,3,4,5,6-DN/0,12,13,14-L/0,7,8,9-DN/10,11,2-D]
Poochyena	[0,9,10,11-DN/12,13,0-D/0,5,6/7,8-DN]
Mightyena	[0,9,10,11-DN/12,13-D/5,4/7,8-L]
Zigzagoon	[0,3,4,5/9,16-DN/0,6,7,8/14,11,2-D]
Linoone		[0,5,6,7,8-DN/0,9,10,11-D/12,13]
Wurmple		[0,3,4,5,6/0,7,8,9-L/0,10,11,12-DN]
Silcoon		[0,3,4,9,5,6/7,8]
Beautifly	[0,14,13,12,11,3,2-LN/6,5,4-DN/8,7-DN/10,9-L]
Cascoon		[0,9,8,7,6,4,3,2/0,12,11,10]
Dustox		[14,13,12,3-LN/0,11,10,9,8,7/0,6,5,4/0,16,15-LN]
Lotad		[0,5,6,7,8,9/0,10,11,12,13/0,2,3,4]
Lombre		[0,11,10,9,8/0,4,3,2/0,7,6,5]
Ludicolo	[0,6,5,4,3,2/0,7,8,9,12,11,13]
Seedot		[0,7,6,5,4-D/0,13,12,10,14,9,8-DN]
Nuzleaf		[0,11,10,9,8/0,6,5,4/0,15,14,13,12]
Shiftry		[0,8,9,10-L/0,5,4,3,2/0,14,13,12]
Taillow		[0,5,6,7/0,13,8-L/0,9,10,12,11-LN]
Swellow		[0,7,8,9-D/0,10,11,12/0,13,14,15,16]
Wingull		[0,8,7,12-L/0,6,5,4,3-DN/0,11,10,9]
Pelipper	[0,5,4,2/0,14,13,12,11,10/0,9,8,7,6]
Ralts		[0,9,10,11,12/0,2,3,4,5/0,6,7,8]
Kirlia		[0,10,11,12,13/0,2,4-L/0,5,6,7-L]
Gardevoir	[0,11,12,13,14/2,3,4,5-L/0,7,8,9]
Surskit		[0,6,5,4/0,10,9,8,7/0,12,11,0]
Masquerain	[0,5,4,3,2-L/0,9,10/0,8,7,6-LN;14,13,7-7]
Shroomish	[0,6,5,4,3,2-DN/0,10,9,8-LN;12,10-10/A-11-10]
Breloom		[0,4,5,6,7-LN/0,9,10,11/0,12,13,14]
Slakoth		[0,14,13,12,5,4,3/11,10,9/7,6-L]
Vigoroth	[10,9,8,7,6-DN/16,14,13,12/5,3,2-D]
Slaking		[0,6,5,0-DN/0,4,3,2-D/0,13,12,11-DN/9,8,7-L]
Nincada		[9,10,11,12,13,14,15/2,3,4,5/0,6,7,8-L]
Ninjask		[0,3,4,5/0,10,11,12,13,14,15-L/0,6,7,8]
Shedinja	[0,2,3,4,9/0,6,7,8,9,10-D/0,12,13,14,5-L]
Whismur		[8,9,10,11/2,3,4,5,6/7]
Loudred		[0,3,4,5,6/0,7,8,9/10,11,12,13]
Exploud		[0,3,4,5,6/0,7,8,9/10,11,12,13-E]
Makuhita	[0,6,7,8,9,13,14-DN/0,3,4,5-D/0,10,11,12]
Hariyama	[0,2,3,4,5-DN/0,6,7,8,9-E/10,11-D/0,12,13,14]
Azurill		[2,3,4,5,6,7,8,15-DN/0,10,11]
Nosepass	[0,6,5,4,3,2/0,11,10,9,8,7]
Skitty		[0,3,4,5,6-B/0,10,11,12,13-B/0,8,9,0-D]
Delcatty	[0,8,9,10,11/0,2,3,4,5,6,7-B]
Sableye		[0,7,6,5,4,3,2-B/11,10,9,8-L/0,15,14,13]
Mawile		[0,8,10,11-B/0,4,5,6/0,13,14,15,16,0/A-7-8,10]
Aron		[0,7,6,5-L-E/0,9,11/3,2,4-D]
Lairon		[0,11,10,9,8,7,6/15-L/5,4,3,2/0,13,12,0-LN]
Aggron		[0,11,10,9,8,7-B/0,5,4,3,2,14,6-LN-E/15-L/0,13,12,0-LN]
Meditite	[0,12,13,14,15,16,6-B-E/0,3,4,5/0,7,9,10-B]
Medicham	[0,13,12,10,9/0,7,6,5,4,3/0,14,15,16/A-11-12,10]
Electrike	[0,6,5,4,3,2/0,7,8,9/0,11,10]
Manetric	[0,6,5,4,3,2/0,7,8,9,10/0,12,13]
Plusle		[0,3,4,5,6/0,7,8,9,10-B]
Minun		[0,3,4,5,6/0,7,8,9-B]
Volbeat		[0,13,14,15-B/0,2,3,4-L/0,10,11,12-DN/0,6,7,8,9]
Illumise	[0,13,14,15-L/0,6,7,8/0,10,11,12/0,3,4-B]
Roselia		[0,10,9,8,7-B-E/0,4,3/0,6,5,0-L/0,13,12,11/0,16,15,14]
Gulpin		[6,5,4,3,2/13,12,11,10/8,7-D]
Swalot		[6,5,4,3,2/0,14,13,12/15/10,9,8-D]
Carvanha	[0,15,4,3,2-B/0,9,8,7,6-B/0,13,12,11,10]
Sharpedo	[5,4,3,2-B-E/8/0,15,14,13/10,9-L/A-7-8,8,5]
Wailmer		[0,6,5,4,3,2-E/0,8,9,10,11,12]
Wailord		[0,10,11,12,13,14,15,16-E/0,2,3,4,6-B]
Numel		[0,3,5,6,7-NL/0,10,11,12,13-B/0,8,9,0]
Camerupt	[0,6,5,4,3/0,13,14,15-L-E/8,7-DN]
Torkoal		[0,5,6,7,8,15-B-E/0,2,3,4,9,10,11-DN/0,14,13]
Spoink		[0,7,6,5,4,3/0,13,12,11,10,9]
Grumpig		[0,12,11,10,9,8-B/0,16,15,14,13/0,7,6,5,4-B]
Spinda		[0,3,4,5,10,6-DN-E;0,14,15,5-5/0,7,8,9]body & head are 3,4 in the original but body is 14,15 in the randomizer?
Trapinch	[0,5,4,3,2/0,8,9,10-L]
Vibrava		[0,5,6,7,8-B/0,2,3,4/0,13,14,15-D]
Flygon		[0,2,3,4,5,6/0,11,12,13,14/0,7,8,9,10]
Cacnea		[0,8,7,6,5,4-E/0,12,11,10,3/0,15,14,13]
Cacturn		[0,9,8,7,6,5,4-B-E/0,13,12,11,10/15,14-L]
Swablu		[04,5,6,7-NL/0,14,12,11,10-L]
Altaria		[0,6,7,8,9,10-NL/12,13,14,15-L]
Zangoose	[0,8,7,6,5,4,3-NL/0,13,12,11,10,9-B]
Seviper		[0,6,5,4/0,16,15,14-NL/0,9,8,7-L/0,12,11,10]
Lunatone	[0,8,7,6,5,4/9,10,11]
Solrock		[0,13,12,11,10,9/0,8,7,6,5,4,3-NL/14-L]
Barboach	[06,5,4,3/0,14,13,12,11,10]
Whiscash	[14,13,12,7,6,5,4,3-B/0,11,10,9,8]
Corphish	[0,5,6,7,8,9-B/0,10,11,12,13-B]
Crawdaunt	[0,4,5,6,7/0,8,9,11-DN/0,12,13,14/0,3,15,10-L]
Baltoy		[0,6,5,4,3,2-B-E/0,11,10,9-B]
Claydol		[0,5,4,3,2-NL-E/9,15,10,14/0,12,13-B/8,7,6-L]
Lileep		[0,2,3,4,5-B/0,11,12,13-B/0,6,7,8,9]
Cradily		[0,3,4,5,6/-B0,11,12,13,14-B/0,7,8,15,9,10]
Anorith		[0,3,4,5,6-B/0,13,14,15-L-E/0,10,11,12-DN]
Armaldo		[0,3,4,5,6,15-B-E/0,8,9-DN/0,10,11-B]
Feebas		[0,6,5,4,3,2/0,13,12,11/0,10,9]
Milotic		[0,3,4,5,6-B/0,8,9,10,11-B;0,15,16,8-8-B/0,13,14,7-LN-E]
Castform	[0,2,3,4,5,6,9,14-LN/8,13-L]
Kecleon		[6,5,4,3,2-B/0,15,14,13,12,11-B/0,10,9,0]
Shuppet		[9,8,7,6,5,4,3-B;11,10,8-8/0,14,13,0]
Banette		[0,7,6,5,4,3-B/0,12,11,10,9,8/0,15,14,13-L]
Duskull		[0,5,4,3,2,6-D-E/0,12,11,10,8-L/0,14,15,0-DN]
Dusclops	[0,5,4,3,2-B/7,8,9,10,11,12-L/0,15,16-LN]
Tropius		[0,5,4,3,2-B/0,9,8,6,7-D/0,12,11,0]
Chimecho	[0,3,4,5,6-LN-E/8,7,9,10-L/0,13,14,15,16-L]
Absol		[2,3,4,5,6-L-E/0,12,13,14,15-LN/0,7,8-LN]
Wynaut		[0,6,5,4,3,2-B/0,16,15,14-B]
Snorunt		[0,4,5,6,7/0,2,3-B/0,8,9-L/0,12,13,14-B-E]
Glalie		[2,3,4,5,6,7-B/8,9,10-L/0,13,14,15-D]
Spheal		[0,6,5,4,3,2-B/0,12,10,9,8-L]
Sealeo		[0,6,5,4,3,2-B/0,16,15,14,13,12-B-E/10,9,8-L]
Walrein		[0,6,5,4,3-B/10,9,8,7-L-E/15,14-L]
Clamperl	[0,5,6,7,8-B/0,14,15,16-B/0,11,10,9]
Huntail		[0,6,8,9,10/0,15,3,4,5-B/0,12,13,14,16-E]
Gorebyss	[0,6,7,8,9,10-B/0,12,13,14,16]
Relicanth	[0,2,3,4,5,6,7-B/0,10,11,12,13,14-B/15-L]
Luvdisc		[0,4,14,13,12-E;11,10,11-11-E/0,7,6,16-L/9,8-D]
Bagon		[0,5,4,3,2-E-B/0,8,7,6/0,13,12,11-L]
Shelgon		[0,12,11,10,9-B-E/0,8,7,6/16,15-L/0,4,3,2,14-D-E]
Salamence	[0,5,4,3,2-B-E/0,10,9,8,6-B/13,12,11-L]
Beldum		[11,12,13,14,15-DN/3,5,6,7/8,9,10,0]
Metang		[15,14,13,12,11/0,7,6,5,4,2/0,10,9,8-L]
Metagross	[0,11,12,13,14,15-B/2,3,4,5,6/0,8,9,0]
Regirock	[0,7,6,5,4,3,2-B-E/0,12,11,10,9-B/15,14-B]
Regice		[0,7,6,5,4,3,2-B-E/15,14,13-B]
Registeel	[0,12,6,5,4,3-B/9,8,7,10,2-D-E/15,14-B]
Latias		[0,10,12,13,14,15-B/0,2,3,4,5-L/6,7/0,8,9,0]
Latios		[0,10,11,12,13,14-B/0,2,3,4,5,6-L/0,7,8,0]
Kyogre		[0,10,11,12,13,14,15-B/0,7,8,9/0,3,4,5-B/2-L]
Groudon		[0,2,3,4,5,6,7-B-E/0,10,11,12,15-B/0,13,14,0]
Rayquaza	[0,6,5,4,2-B/15,14,11-L/0,10,9,8,7]
Jirachi		[0,13,12,14,15-B/0,7,8,9-L/0,3,4,5,6-B]
Deoxys		[0,9,2,3,4-B/0,6,7,8-B/0,15,14-B]
Turtwig		[0,5,6,7,8,9-B;2,3,9-9/0,12,13-L/0,10,11,14-B-E]
Grotle		[0,9,10,11,12-B-E/0,4,5,6,7,8-B/0,2,3,0]
Torterra	[0,2,3,4,8-D/0,9,10,11-B]
Chimchar	[0,2,3,4,5/0,6,7,8-B/0,9,10,11,13;12,9-9-B]
Monferno	[0,2,3,4/0,5,6,7,8-B/11,12/10;9,15,10-10-B]
